"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5575]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW93-20 [5575]","ADAKITE [5575]","","","","ARCHEAN [5575]","","","","","VOL","","","","","WR [5575] ","67.4","0.49","","16.3","","","","3.69","3.5","1.8","0.07","","2.1","3.9","0.31","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","66","18","","","11","4","","","","","","","","69","877","14","164","9.18","","","","","","","","","","","","2.8","889","37.4","79.3","9.31","35.8","6.34","1.76","4.65","0.513","2.65","0.51","1.23","0.181","1.19","0.171","4.39","0.5","","","","","","","","","","","6.798","2.082","","","","","","","","","","","","","","","","","","","","","","","","","168964",
"[5575]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW93-21 [5575]","ADAKITE [5575]","","","","ARCHEAN [5575]","","","","","VOL","","","","","WR [5575] ","73.1","0.22","","15.3","","","","1.35","2.5","0.6","0.1","","2.1","4.7","0.08","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","19","6","","","4","3","","","","","","","","35","907","9","107","3.55","","","","","","","","","","","","1.3","774","20.3","43","5.13","20.1","3.84","0.949","2.83","0.313","1.68","0.31","0.87","0.121","0.79","0.121","2.97","0.23","","","","","","","","","","","3.382","1.393","","","","","","","","","","","","","","","","","","","","","","","","","168965",
"[5575]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW93-24 [5575]","ADAKITE [5575]","","","","ARCHEAN [5575]","","","","","VOL","","","","","WR [5575] ","67.9","0.31","","17","","","","2.16","4.1","1.4","0.02","","2.1","4.6","0.13","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","41","24","","","10","21","","","","","","","","59","711","8","112","8.16","","","","","","","","","","","","2.8","621","25.8","55.8","6.55","24.9","4.25","1.048","2.95","0.292","1.52","0.26","0.7","0.091","0.57","0.091","2.64","0.37","","","","","","","","","","","5.222","1.431","","","","","","","","","","","","","","","","","","","","","","","","","168967",
"[5575]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW96-2 [5575]","ADAKITE [5575]","","","","ARCHEAN [5575]","","","","","VOL","","","","","WR [5575] ","66.2","0.57","","15.2","","","","5.13","4.4","3.8","0.08","","1.2","2.5","0.38","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","101","98","","","20","25","","","","","","","","56","1066","23","204","9.96","","","","","","","","","","","","1.6","1317","55.1","115.7","13.73","55.2","9.57","2.311","7.21","0.83","4.61","0.87","2.33","0.34","2.15","0.31","5.24","0.6","","","","","","","","","","","9.915","2.031","","","","","","","","","","","","","","","","","","","","","","","","","168968",
"[5575]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW96-9 [5575]","ADAKITE [5575]","","","","ARCHEAN [5575]","","","","","VOL","","","","","WR [5575] ","69.1","0.28","","17","","","","1.8","3.6","1.1","0.01","","1.3","5.5","0.09","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","34","20","","","8","16","","","","","","","","41","570","6","115","4.54","","","","","","","","","","","","3.9","642","18.1","37.6","4.45","17","2.83","0.767","1.99","0.212","1.09","0.19","0.46","0.071","0.43","0.071","2.72","0.31","","","","","","","","","","","3.401","0.888","","","","","","","","","","","","","","","","","","","","","","","","","168970",
"[5575]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW96-6 [5575]","ADAKITE [5575]","","","","ARCHEAN [5575]","","","","","VOL","","","","","WR [5575] ","63.8","0.41","","17.9","","","","3.51","8.6","2.7","0.17","","1.8","0.6","0.19","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","53","41","","","16","73","","","","","","","","69","386","14","135","8.46","","","","","","","","","","","","5.4","767","35.9","76.9","9.22","36.7","6.28","1.793","4.37","0.483","2.66","0.46","1.15","0.161","0.93","0.121","3.33","0.4","","","","","","","","","","","5.539","1.42","","","","","","","","","","","","","","","","","","","","","","","","","168976",
"[6954]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / VODLOZERO TERRANE - SUMOZERO-KENOZERO GREENSTONE B / KAMENNOOZERO SYNFORM","","63.6","63.6","36.3","36.3","SAE","","","s_8#94 [6954]","ADAKITE [6954]","","","","ARCHEAN [6954]","","","","","VOL","","","","","WR [6954] ","71.7","0.346","","15.5","","","","2.89","3.4","0.79","0.12","","1.35","3.41","0.132","","","","","","","","","","","","","","","","1.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1","186","5.01","119","4.83","","","","","","","","","","","","","304","17.5","33.3","","12.97","2.287","0.681","1.81","","1.22","","0.548","","0.482","","3.7","","","","","","","","","","","","2.62","0.709","0.511073","","","","","","","","","","","","","","","","","","","","","","","","171219",
"[6954]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / VODLOZERO TERRANE - SUMOZERO-KENOZERO GREENSTONE B / KAMENNOOZERO SYNFORM","","63.6","63.6","36.3","36.3","SAE","","","s_9#94 [6954]","ADAKITE [6954]","","","","ARCHEAN [6954]","","","","","VOL","","","","","WR [6954] ","71.8","0.325","","15.6","","","","2.66","3.48","0.81","0.12","","1.12","3.57","0.132","","","","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6","175","4.45","107","4.73","","","","","","","","","","","","","295","17.4","33.2","","13.26","2.297","0.64","1.7","","1.1","","0.475","","0.413","","3.37","","","","","","","","","","","","2.58","0.668","0.511043","","","","","","","","","","","","","","","","","","","","","","","","171220",
"[6954]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / VODLOZERO TERRANE - SUMOZERO-KENOZERO GREENSTONE B / KAMENNOOZERO SYNFORM","","63.6","63.6","36.3","36.3","SAE","","","s_10#94 [6954]","ADAKITE [6954]","","","","ARCHEAN [6954]","","","","","VOL","","","","","WR [6954] ","74.2","0.234","","14.8","","","","1.92","2.57","0.47","0.11","","1.37","3.98","0.091","","","","","","","","","","","","","","","","1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171221",
"[6954]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / VODLOZERO TERRANE - SUMOZERO-KENOZERO GREENSTONE B / KAMENNOOZERO SYNFORM","","63.6","63.6","36.3","36.3","SAE","","","s_12#94 [6954]","ADAKITE [6954]","","","","ARCHEAN [6954]","","","","","VOL","","","","","WR [6954] ","72","0.325","","15.1","","","","2.73","3.27","0.82","0.12","","1.3","3.88","0.132","","","","","","","","","","","","","","","","1.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","182","5.12","112","4.62","","","","","","","","","","","","","315","19.3","35.6","","13.57","2.3","0.676","1.78","","1.24","","0.58","","0.518","","3.73","","","","","","","","","","","","2.98","0.748","0.510978","","","","","","","","","","","","","","","","","","","","","","","","171222",
"[6954]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / VODLOZERO TERRANE - SUMOZERO-KENOZERO GREENSTONE B / KAMENNOOZERO SYNFORM","","63.6","63.6","36.3","36.3","SAE","","","s_14#94 [6954]","ADAKITE [6954]","","","","ARCHEAN [6954]","","","","","VOL","","","","","WR [6954] ","74.4","0.234","","15.1","","","","1.61","1.87","0.48","0.11","","1.7","4.27","0.092","","","","","","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","229","2.3","81.2","0.912","","","","","","","","","","","","","438","9.63","19.5","","8.77","1.65","0.417","1.15","","0.599","","0.232","","0.208","","2.86","","","","","","","","","","","","2.19","0.944","0.51129","","","","","","","","","","","","","","","","","","","","","","","","171223",
"[15897][7640][7862]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / ZARECHNY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","57.2","57.2","159.2","159.2","SAE","","","s_1002/4C [15897] / s_1002/4K [15897] / s_1002/4 [7862]","ANDESITE, BASALTIC [15897] / BASALT [7640] / ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [15897] ","52.3","0.87","","12.53","","3.45","5.44","","8.62","11.88","0.16","","1.35","2.69","0.23","","0.23","0.2","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","5216","","10.29","","","45.3","209","","","","","","","","16","696","","","","","","","","","","","","","","","0.41","675","9.17","24.4","","14.6","3.86","1.09","","0.47","","","","","1.46","0.194","2","0.11","","","","","","","","","","","0.91","0.4","0.513083","","","0.70339","","","","","","","","","","","","","","","","","","","","","17352-1002/4",
"[7189]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / MANITOUWADGE-HORNEPAYNE BELT","","49","49.5","-85.5","-85.5","SAE","","","s_MW95-13 [7189]","ADAKITE [7189]","2700000000 [7189]","2700000000 [7189]","","ARCHEAN [7189]","","","","","VOL","","","","","WR [7189] ","70.1","0.3","","16","","","","2.16","2.7","1.1","0","","2","5.1","0.12","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","35","25","","","9","18","","","","","","","","70","817","8","160","5.6","","","","","","","","","","","","2.4","750","23.8","50.4","5.7","20.9","3.44","1.1","2.33","0.23","1.27","0.23","0.58","0.1","0.58","0.07","4.1","0.4","","","","","","","","","14.8","","9.4","1","","","","","","","","","","","","","","","","","","","","","","","","","181398",
"[7862]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA","SANTO DOMINGO","7","9.5","-80","-83","SAE","","","s_M65A [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","56.9","0.96","","16.13","","0.96","5.44","","7.76","5.45","0.1","","2.86","2.98","0.48","","","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512965","","","0.70336","","","","","","","","","","","","","","","","","","","","","198001",
"[7862]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA","SAN FELIX","8.33","8.33","-81.83","-81.83","SAE","","","s_M99A [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","55.11","1.19","","15.39","","0.95","5.4","","9.04","6.22","0.12","","1.51","4.23","0.83","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513002","","","0.70354","","","","","","","","","","","","","","","","","","","","","198002",
"[7862]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL BARU","","8.8","8.8","-82.5","-82.5","SAE","","","s_M44 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","55.78","0.74","","16.02","","1.01","5.71","","8.3","7.15","0.11","","1.64","3.24","0.29","","","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512986","","","0.7035","","","","","","","","","","","","","","","","","","","","","198003",
"[7862]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL BARU","","8.8","8.8","-82.5","-82.5","SAE","","","s_M91A [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","57.29","0.91","","16.11","","0.88","4.99","","7.43","5.99","0.09","","2.1","3.73","0.47","","","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7035","","","","","","","","","","","","","","","","","","","","","198004",
"[7862]","CONVERGENT MARGIN","TONGA ARC / FIJI ISLANDS / NGALOA","","-16.6167","-16.6167","-178.6833","-178.6833","SAE","","","s_N64 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","52.03","1.69","","15.56","","0.95","5.4","","10.26","7.52","0.1","","1.65","3.99","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51302","","","0.70288","","","","","","","","","","","","","","","","","","","","","198005",
"[7862]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / ZARECHNY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","57.2","57.2","159.2","159.2","SAE","","","s_K01/22 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","52.6","0.87","","12.58","","","","8.38","8.62","11.05","0.16","","1.31","2.78","0.27","","","0.12","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513084","","","0.703522","","","","","","","","","","","","","","","","","","","","","198015",
"[7862]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSK","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_K2-92 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","50.76","0.67","","10.61","","","","8.16","6.5","18.68","0.23","","0.92","2.13","0.24","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513091","","","0.70359","","","","","","","","","","","","","","","","","","","","","198016",
"[7862]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / SHIVELUCH (SHEVELUCH)","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.63","56.63","161.32","161.32","SAE","3283","3283","s_K01/19 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","57.3","0.7","","16.11","","","","6.291","7.1","5.54","0.12","","1.16","4.08","0.18","","","0.09","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513115","","","0.703362","","","","","","","","","","","","","","","","","","","","","198018",
"[7862]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / SHIVELUCH (SHEVELUCH)","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.63","56.63","161.32","161.32","SAE","3283","3283","s_K01/14 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","53.57","0.86","","17.08","","","","7.713","8.2","5.89","0.14","","1.08","3.82","0.23","","","0.27","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5131","","","0.70333","","","","","","","","","","","","","","","","","","","","","198019",
"[7862]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PAMPA","","-47.9","-47.9","-71.3","-71.3","SAE","","","s_CP-1 [7862]","ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [7862] ","64.55","0.66","","16.69","","0.46","2.6","","6.11","3.01","0.1","","1.6","4.51","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512887","","","0.7029","","","","","","","","","","","","","","","","","","","","","198076",
"[7987]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PAMPA","","-47.9","-47.9","-71.3","-71.3","SAE","","","s_RB5 [7987]","ADAKITE [7987]","","","UPPER [7987]","MIOCENE [7987]","","","","","VOL","","","","","WR [7987] ","62.55","0.62","","17.27","","","3.13","","7.12","3.62","0.09","","1.22","4.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","","","97","","","15","76","","","","","","","","","1886","","","","","","","","","","","","","","","0.25","306","26.6","60.9","","30.3","4.41","1.16","","0.34","","","","","0.722","0.094","3.2","0.69","","","","","","","","","","","4.9","1.3","0.512887","","","0.702902","","18.44","","15.57","","38.22","","","","","","","","","","","","","","","200887",
"[7987]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PAMPA","","-47.9","-47.9","-71.3","-71.3","SAE","","","s_RB8 [7987]","ADAKITE [7987]","","","UPPER [7987]","MIOCENE [7987]","","","","","VOL","","","","","WR [7987] ","63.22","0.84","","16.53","","","3.78","","6.72","2.92","0.11","","1.88","4.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","","","81","","","15","43","","","","","","","","","2294","","","","","","","","","","","","","","","0.57","356","40.1","97","","51.5","7.55","1.93","","0.63","","","","","1.2","0.155","5","0.73","","","","","","","","","","","7.5","1.8","0.512948","","","0.702848","","","","","","","","","","","","","","","","","","","","","200888",
"[7987]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PAMPA","","-47.9","-47.9","-71.3","-71.3","SAE","","","s_RB7 [7987]","ADAKITE [7987]","","","UPPER [7987]","MIOCENE [7987]","","","","","VOL","","","","","WR [7987] ","67.88","0.51","","16.26","","","2.35","","4.5","2.48","0.11","","1.7","4.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","85","","","9","47","","","","","","","","","1334","","","","","","","","","","","","","","","0.28","391","20.7","44.9","","19.9","3.17","0.77","","0.27","","","","","0.692","0.079","3.2","1.8","","","","","","","","","","","6.7","2.6","0.512878","","","0.703091","","18.59","","15.58","","38.32","","","","","","","","","","","","","","","200889",
"[3521][4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","DAGUMA-SARANGANI","5.6","7.2","124","126","SAE","","","s_MAT-77 [3521] / s_MAT77 [4096]","ADAKITE [3521]","","","","","","","","","VOL","","","","","WR [3521] ","63.25","0.56","","16.6","","","","4.09","5.3","2.9","0.08","","1.66","4.4","0.18","","","","","","","","","","","","","","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","116","35","","","14","28","","","","","","","","25.5","745","12.7","110","3.9","","","","","","","","","","","","","308","8.4","18","","11","","0.8","","","2.2","","1.5","","1.15","","3.05","0.291","","","","","","","","","","","1.82","0.79","","","","","","","","","","","","","","","","","","","","","","","","","20346-MAT 77",
"[5372][7862]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / COOK","COOK ISLAND","-55","-55","-70","-70","SAE","","","s_CK-1-468 [5372]","ANDESITE [5372] / ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [5372] ","61.36","0.71","","18.36","","0.52","2.941","3.46","7.8","3.5","0.07","","0.57","4.42","0.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4732","","9","4256","63","63","","","","53","","","","","","","","3","1910","6","117","11","","","","","","","","","","","","","124","27.9","63.5","","15","4.6","1.6","","0.77","","","","","0.85","0.04","3.7","0.66","","","","","","","","","","","4.1","1.3","","","","0.70268","","","","","","","","","","","","","","","","","","","","","23484-CK-1-468",
"[5372][7862]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / COOK","COOK ISLAND","-55","-55","-70","-70","SAE","","","s_CK-3-197 [5372]","ANDESITE [5372] / ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [5372] ","61.51","0.87","","18","","0.55","3.128","3.68","7.82","3.58","0.07","","0.6","4.3","0.34","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4981","","9","5216","53","53","","","","47","","","","","","","","3","1770","4","137","9","","","","","","","","","","","","","101","30.6","70.4","","27.7","5.3","1.7","","","","","","","1.01","0.04","3.8","0.55","","","","","","","","","","","4.7","1.4","","","","","","","","","","","","","","","","","","","","","","","","","23484-CK-3-197",
"[5372][7862]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / COOK","COOK ISLAND","-55","-55","-70","-70","SAE","","","s_CK-3-198 [5372]","ANDESITE [5372] / ADAKITE [7862]","","","","","","","","","VOL","","","","","WR [5372] ","59.56","0.78","","18.35","","0.55","3.1025","3.65","8.54","4.42","0.07","","0.6","4.51","0.29","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4981","","9","4676","76","76","","","","65","","","","","","","","3","2003","6","122","12","","","","","","","","","","","","","177","35.3","75.7","","28.1","4.2","1.6","","0.64","","","","","0.99","0.03","3.3","0.61","","","","","","","","","","","4.4","1.3","0.51314","","","0.7028","","18.5","","15.53","","38.04","","","","","","","","","","","","","","","23484-CK-3-198",
"[9146]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","SURIAGO DEL NORTE, NORTHERN EXTREMITY OF EASTERN MINDANAO","9.671","9.671","125.562","125.562","SAE","","","s_357409 [9146]","ADAKITE [9146]","","","","","","","","","VOL","","","","","WR [9146] ","52.06","1.232","","16.69","","12.23","","","9.17","4.79","0.179","","0.909","2.66","0.336","","","","","","","","","","","","","","","","1.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","418","20","","","","23","260","110","20","","","","","9.3","318","27.8","99.7","2.5","","","","","","","","","","","","","179","7.4","23.4","","17.7","","","","","","","","","","","","","","","","","","","","","6.4","","0.3","","0.513051","","","0.704021","","","","","","","","","","","","","","","","","","","","","239999",
